id	code	name	type	descp	record_time
531	600630	龙头股份	1		2015-11-15 19:57:33
532	600629	棱光实业	1		2015-11-15 19:57:33
533	600628	新世界	1		2015-11-15 19:57:33
534	600626	申达股份	1		2015-11-15 19:57:33
535	600624	复旦复华	1		2015-11-15 19:57:33
536	600623	双钱股份	1		2015-11-15 19:57:33
537	600622	嘉宝集团	1		2015-11-15 19:57:33
538	600621	华鑫股份	1		2015-11-15 19:57:33
539	600620	天宸股份	1		2015-11-15 19:57:33
540	600619	海立股份	1		2015-11-15 19:57:33
541	600618	氯碱化工	1		2015-11-15 19:57:33
